"﻿http://court.gov.ua/log_documents/24901288/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 11:29:17...";"Єдиний унікальний номер: 761/33146/17";"Номер провадження: 1-кс/761/21102/2017";"Номер провадження слідчих органів: 1/2017/11/000/0000144";;;;;
"http://court.gov.ua/log_documents/24917937/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:15:48...";"Єдиний унікальний номер: 761/33235/17";"Номер провадження: 2/761/7230/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24917977/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:15:38...";"Єдиний унікальний номер: 761/33234/17";"Номер провадження: 3/761/6950/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24918046/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:17:22...";"Єдиний унікальний номер: 761/33236/17";"Номер провадження: 3/761/6951/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24918081/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:20:45...";"Єдиний унікальний номер: 761/33238/17";"Номер провадження: 2/761/7231/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24918086/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:19:32...";"Єдиний унікальний номер: 761/33237/17";"Номер провадження: 3/761/6952/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24918165/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:21:24...";"Єдиний унікальний номер: 761/33239/17";"Номер провадження: 3/761/6953/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24918189/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:47:54...";"Єдиний унікальний номер: 761/33240/17";"Номер провадження: 1-кс/761/21152/2017";"Спеціалізація: Клопотання, заяви, скарги (кримінальна колегія) відповідно до РЗС від 31.01.2017";;;;;
"http://court.gov.ua/log_documents/24918253/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:24:40...";"Єдиний унікальний номер: 761/33243/17";"Номер провадження: 2/761/7232/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24918261/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:23:41...";"Єдиний унікальний номер: 761/33241/17";"Номер провадження: 3/761/6954/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24918296/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:52:58...";"Єдиний унікальний номер: 761/33242/17";"Номер провадження: 1-в/761/407/2017";"Спеціалізація: Кримінальні справи";;;;;
"http://court.gov.ua/log_documents/24918361/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:50:03...";"Єдиний унікальний номер: 761/33244/17";"Номер провадження: 1-кс/761/21153/2017";"Номер провадження слідчих органів: 1/2015/10/010/0015346";;;;;
"http://court.gov.ua/log_documents/24918382/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:26:12...";"Єдиний унікальний номер: 761/16971/17";"Номер провадження: 3/761/6955/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
